review_id,order_id,rating,review_text,review_date
REV0153,ORD00554,1.0,"Item never arrived on time, very disappointing.",2025-10-21
REV0154,ORD00448,5.0,"Exceeded expectations, will be ordering more.",2026-01-23
REV0155,ORD00965,4.0,Fast shipping and item was well packaged.,2025-11-02
REV0156,ORD00328,5.0,"Exceeded expectations, will be ordering more.",2026-06-26
REV0157,ORD00569,5.0,Fast shipping and item was well packaged.,2025-02-17
REV0158,ORD00756,5.0,"Great quality, arrived as expected, would buy again!",2026-01-17
REV0159,ORD00976,3.0,"Fine for the price, packaging could be better.",2026-06-17
REV0160,ORD00219,5.0,"Nice product, good value for the price.",2025-08-08
REV0161,ORD00192,5.0,Fast shipping and item was well packaged.,2026-03-29
REV0162,ORD00410,,"Exceeded expectations, will be ordering more.",2026-04-11
REV0163,ORD00499,2.0,"Delivery took way longer than promised, not happy.",2025-05-24
REV0164,ORD00896,5.0,"Great quality, arrived as expected, would buy again!",2026-06-28
REV0165,ORD00685,3.0,"It's okay, does the job.",2026-07-13
REV0166,ORD00865,1.0,"Wrong item sent, had to return it.",2026-07-02
REV0167,ORD00751,3.0,"Average product, nothing special.",2026-03-15
REV0168,ORD00157,5.0,Fast shipping and item was well packaged.,2026-01-31
REV0169,ORD00832,1.0,Package was late and support was slow to respond.,2026-03-18
REV0170,ORD00241,4.0,"Exceeded expectations, will be ordering more.",2026-04-05
REV0171,ORD00878,4.0,Fast shipping and item was well packaged.,2025-11-28
REV0172,ORD00349,5.0,"Really happy with this purchase, exactly as described.",2025-08-23
REV0173,ORD00093,3.0,"Wrong item sent, had to return it.",2025-11-15
REV0174,ORD00880,5.0,"Really happy with this purchase, exactly as described.",2026-01-09
REV0175,ORD00223,3.0,"Average product, nothing special.",2025-06-26
REV0176,ORD00761,4.0,"Really happy with this purchase, exactly as described.",2026-05-27
REV0177,ORD00750,5.0,"Really happy with this purchase, exactly as described.",2025-10-29
REV0178,ORD00773,4.0,"Exceeded expectations, will be ordering more.",2026-05-16
REV0179,ORD00692,,"Nice product, good value for the price.",2026-02-13
REV0180,ORD00064,5.0,Fast shipping and item was well packaged.,2026-05-15
REV0181,ORD00019,4.0,"Great quality, arrived as expected, would buy again!",2026-02-15
REV0182,ORD00679,5.0,"Nice product, good value for the price.",2026-01-04
REV0183,ORD00698,5.0,"Great quality, arrived as expected, would buy again!",2026-03-12
REV0184,ORD00565,4.0,"Exceeded expectations, will be ordering more.",2025-12-22
REV0185,ORD00747,5.0,"Exceeded expectations, will be ordering more.",2026-02-25
REV0186,ORD00928,5.0,"Nice product, good value for the price.",2026-05-24
REV0187,ORD00929,5.0,"Nice product, good value for the price.",2026-04-21
REV0188,ORD00023,1.0,Not worth the money.,2026-06-28
REV0189,ORD00850,4.0,"Really happy with this purchase, exactly as described.",2025-08-11
REV0190,ORD00196,5.0,"Nice product, good value for the price.",2026-03-23
REV0191,ORD00811,5.0,"Nice product, good value for the price.",2026-01-14
REV0192,ORD00741,,"Ordered this over a week late, wouldn't order again.",2026-05-03
REV0193,ORD00666,,"Still waiting past the promised date, frustrating experience.",2025-07-16
REV0194,ORD00535,4.0,"Nice product, good value for the price.",2025-12-11
REV0195,ORD00660,1.0,"It's okay, does the job.",2026-06-26
REV0196,ORD00293,5.0,"Great quality, arrived as expected, would buy again!",2025-12-04
REV0197,ORD00438,5.0,"Nice product, good value for the price.",2025-08-23
REV0198,ORD00111,4.0,"Really happy with this purchase, exactly as described.",2026-05-08
REV0199,ORD00302,5.0,"Exceeded expectations, will be ordering more.",2025-05-14
REV0200,ORD00300,4.0,Fast shipping and item was well packaged.,2025-08-06
REV0201,ORD00406,2.0,"Item never arrived on time, very disappointing.",2026-05-24
REV0202,ORD00728,,"Really happy with this purchase, exactly as described.",2025-10-21
REV0203,ORD00868,5.0,"Nice product, good value for the price.",2025-11-08
REV0204,ORD00649,5.0,"Great quality, arrived as expected, would buy again!",2025-06-07
REV0205,ORD00441,4.0,"Great quality, arrived as expected, would buy again!",2025-10-28
REV0206,ORD00091,5.0,Fast shipping and item was well packaged.,2025-12-15
REV0207,ORD00082,1.0,"Average product, nothing special.",2025-10-01
REV0208,ORD00284,5.0,"Great quality, arrived as expected, would buy again!",2026-03-03
REV0209,ORD00983,3.0,"It's okay, does the job.",2026-06-19
REV0210,ORD00298,5.0,"Great quality, arrived as expected, would buy again!",2026-04-22
REV0211,ORD00031,4.0,"Great quality, arrived as expected, would buy again!",2025-05-17
REV0212,ORD00011,2.0,"Average product, nothing special.",2026-05-17
REV0213,ORD00336,4.0,"Really happy with this purchase, exactly as described.",2026-01-16
REV0214,ORD00189,3.0,"Average product, nothing special.",2026-05-06
REV0215,ORD00813,4.0,"Really happy with this purchase, exactly as described.",2025-09-30
REV0216,ORD00882,4.0,"Exceeded expectations, will be ordering more.",2026-06-01
REV0217,ORD00866,3.0,"It's okay, does the job.",2026-05-12
REV0218,ORD00655,5.0,"Nice product, good value for the price.",2026-04-23
REV0219,ORD00910,3.0,"Average product, nothing special.",2025-10-04
REV0220,ORD00163,3.0,"It's okay, does the job.",2026-03-10
REV0221,ORD00466,2.0,Package was late and support was slow to respond.,2026-06-07
REV0222,ORD00322,5.0,"Exceeded expectations, will be ordering more.",2026-03-21
REV0223,ORD00079,5.0,Fast shipping and item was well packaged.,2026-05-31
REV0224,ORD00563,5.0,Fast shipping and item was well packaged.,2026-04-10
REV0225,ORD00002,1.0,"Delivery took way longer than promised, not happy.",2026-03-31
REV0226,ORD00578,4.0,"Average product, nothing special.",2026-05-21
REV0227,ORD00182,5.0,"Nice product, good value for the price.",2025-04-10
REV0228,ORD00734,5.0,"Great quality, arrived as expected, would buy again!",2025-12-02
REV0229,ORD00939,2.0,"Item never arrived on time, very disappointing.",2026-05-28
REV0230,ORD00705,3.0,"Fine for the price, packaging could be better.",2026-04-02
REV0231,ORD00464,2.0,"Still waiting past the promised date, frustrating experience.",2026-06-25
REV0232,ORD00840,5.0,"Really happy with this purchase, exactly as described.",2025-12-14
REV0233,ORD00005,1.0,"Item never arrived on time, very disappointing.",2026-06-18
REV0234,ORD00532,1.0,"Delivery took way longer than promised, not happy.",2026-07-13
REV0235,ORD00207,5.0,"Really happy with this purchase, exactly as described.",2026-06-25
REV0236,ORD00120,4.0,"Really happy with this purchase, exactly as described.",2025-09-12
REV0237,ORD00483,3.0,"Fine for the price, packaging could be better.",2025-11-05
REV0238,ORD00543,1.0,"Item never arrived on time, very disappointing.",2026-06-29
REV0239,ORD00214,3.0,"Fine for the price, packaging could be better.",2026-01-09
REV0240,ORD00907,4.0,"Nice product, good value for the price.",2026-05-07
REV0241,ORD00181,,"Ordered this over a week late, wouldn't order again.",2026-05-28
REV0242,ORD00269,4.0,Fast shipping and item was well packaged.,2025-11-12
REV0243,ORD00391,1.0,Not worth the money.,2026-04-08
REV0244,ORD00073,1.0,"It's okay, does the job.",2026-03-17
REV0245,ORD00224,3.0,"It's okay, does the job.",2025-07-28
REV0246,ORD00211,5.0,"Really happy with this purchase, exactly as described.",2025-03-19
REV0247,ORD00346,2.0,"Item never arrived on time, very disappointing.",2026-04-23
REV0248,ORD00923,4.0,"Nice product, good value for the price.",2026-05-13
REV0249,ORD00123,5.0,Fast shipping and item was well packaged.,2026-07-12
REV0250,ORD00184,2.0,"Ordered this over a week late, wouldn't order again.",2025-08-10
REV0251,ORD00781,5.0,Fast shipping and item was well packaged.,2026-03-18
REV0252,ORD00828,4.0,"Really happy with this purchase, exactly as described.",2026-05-31
REV0253,ORD00525,5.0,"Exceeded expectations, will be ordering more.",2026-03-14
REV0254,ORD00014,1.0,"Average product, nothing special.",2026-06-17
REV0255,ORD00238,5.0,"Exceeded expectations, will be ordering more.",2025-10-01
REV0256,ORD00260,1.0,"Delivery took way longer than promised, not happy.",2026-03-21
REV0257,ORD00911,4.0,"Really happy with this purchase, exactly as described.",2026-05-29
REV0258,ORD00321,5.0,Fast shipping and item was well packaged.,2026-05-15
REV0259,ORD00496,4.0,"Great quality, arrived as expected, would buy again!",2025-08-20
REV0260,ORD00885,1.0,"Wrong item sent, had to return it.",2025-10-30
REV0261,ORD00420,2.0,"Ordered this over a week late, wouldn't order again.",2026-01-28
REV0262,ORD00599,,"It's okay, does the job.",2026-04-14
REV0263,ORD00707,4.0,"Nice product, good value for the price.",2026-06-07
REV0264,ORD00869,5.0,"Nice product, good value for the price.",2025-07-03
REV0265,ORD00133,4.0,"Exceeded expectations, will be ordering more.",2025-05-29
REV0266,ORD00092,5.0,"Nice product, good value for the price.",2026-04-06
REV0267,ORD00821,4.0,"Nice product, good value for the price.",2026-02-21
REV0268,ORD00130,4.0,Fast shipping and item was well packaged.,2026-04-22
REV0269,ORD00987,4.0,"Really happy with this purchase, exactly as described.",2026-06-30
REV0270,ORD00170,5.0,"Exceeded expectations, will be ordering more.",2026-02-06
REV0271,ORD00115,5.0,Fast shipping and item was well packaged.,2026-07-05
REV0272,ORD00701,5.0,"Exceeded expectations, will be ordering more.",2026-03-10
REV0273,ORD00948,5.0,"Nice product, good value for the price.",2025-09-01
REV0274,ORD00585,2.0,"Not as described, quality was poor.",2025-04-06
REV0275,ORD00413,4.0,"Really happy with this purchase, exactly as described.",2026-06-03
REV0276,ORD00718,5.0,"Really happy with this purchase, exactly as described.",2025-10-20
REV0277,ORD00727,4.0,"Exceeded expectations, will be ordering more.",2025-12-27
REV0278,ORD00305,4.0,"Great quality, arrived as expected, would buy again!",2026-06-11
REV0279,ORD00469,4.0,"Great quality, arrived as expected, would buy again!",2026-06-28
REV0280,ORD00074,1.0,"Not as described, quality was poor.",2026-06-04
REV0281,ORD00003,5.0,"It's okay, does the job.",2026-06-04
REV0282,ORD00592,4.0,"Really happy with this purchase, exactly as described.",2026-03-01
REV0283,ORD00376,5.0,"Nice product, good value for the price.",2025-11-03
REV0284,ORD00640,2.0,"Still waiting past the promised date, frustrating experience.",2026-02-17
REV0285,ORD00013,3.0,"It's okay, does the job.",2026-03-05
REV0286,ORD00335,2.0,"Ordered this over a week late, wouldn't order again.",2026-04-15
REV0287,ORD00737,4.0,"Great quality, arrived as expected, would buy again!",2026-01-26
REV0288,ORD00395,2.0,Not worth the money.,2026-02-24
REV0289,ORD00112,5.0,"Nice product, good value for the price.",2026-06-22
REV0290,ORD00465,4.0,Fast shipping and item was well packaged.,2026-06-09
REV0291,ORD00333,5.0,Fast shipping and item was well packaged.,2025-10-08
REV0292,ORD00188,5.0,"Nice product, good value for the price.",2026-01-06
REV0293,ORD00325,5.0,"Nice product, good value for the price.",2025-12-12
REV0294,ORD00949,2.0,Not worth the money.,2026-06-05
REV0295,ORD00759,5.0,"Exceeded expectations, will be ordering more.",2025-11-20
REV0296,ORD00884,3.0,"Fine for the price, packaging could be better.",2025-12-30
REV0297,ORD00044,4.0,Fast shipping and item was well packaged.,2026-04-29
REV0298,ORD00329,1.0,Package was late and support was slow to respond.,2026-07-11
REV0299,ORD00602,3.0,"Fine for the price, packaging could be better.",2025-12-10
REV0300,ORD00404,5.0,"Exceeded expectations, will be ordering more.",2026-06-10
REV0301,ORD00772,2.0,"Delivery took way longer than promised, not happy.",2026-01-04
REV0302,ORD00327,4.0,"Really happy with this purchase, exactly as described.",2026-03-15
REV0303,ORD00921,4.0,"Exceeded expectations, will be ordering more.",2025-03-16
REV0304,ORD00559,5.0,Fast shipping and item was well packaged.,2025-07-22
REV0305,ORD00867,4.0,Fast shipping and item was well packaged.,2026-01-30
REV0306,ORD00557,5.0,"Great quality, arrived as expected, would buy again!",2025-12-13
REV0307,ORD00352,4.0,"Great quality, arrived as expected, would buy again!",2026-07-09
REV0308,ORD00456,3.0,"It's okay, does the job.",2026-04-26
REV0309,ORD00722,,Not worth the money.,2026-03-28
REV0310,ORD00918,3.0,"Average product, nothing special.",2026-04-04
REV0311,ORD00057,5.0,"Great quality, arrived as expected, would buy again!",2026-03-30
REV0312,ORD00787,2.0,"Fine for the price, packaging could be better.",2026-03-17
REV0313,ORD00227,,"Great quality, arrived as expected, would buy again!",2026-04-24
REV0314,ORD00739,3.0,"Average product, nothing special.",2026-06-28
REV0315,ORD00042,5.0,"Nice product, good value for the price.",2026-02-16
REV0316,ORD00462,,"It's okay, does the job.",2026-06-11
REV0317,ORD00881,4.0,"Exceeded expectations, will be ordering more.",2026-06-22
REV0318,ORD00359,3.0,"Fine for the price, packaging could be better.",2026-02-28
REV0319,ORD00711,4.0,"Fine for the price, packaging could be better.",2025-12-27
REV0320,ORD00185,5.0,"Nice product, good value for the price.",2026-03-18
REV0321,ORD00183,1.0,"Still waiting past the promised date, frustrating experience.",2026-04-21
REV0322,ORD00421,5.0,"Really happy with this purchase, exactly as described.",2026-05-12
REV0323,ORD00060,3.0,"Average product, nothing special.",2026-05-24
REV0324,ORD00826,3.0,"Average product, nothing special.",2025-12-31
REV0325,ORD00786,2.0,"Average product, nothing special.",2026-05-15
REV0326,ORD00017,2.0,"Ordered this over a week late, wouldn't order again.",2026-04-16
REV0327,ORD00363,5.0,Fast shipping and item was well packaged.,2026-02-27
REV0328,ORD00699,1.0,Item arrived damaged.,2025-08-29
REV0329,ORD00901,4.0,"Really happy with this purchase, exactly as described.",2026-06-25
REV0330,ORD00844,5.0,"Nice product, good value for the price.",2026-02-14
REV0331,ORD00574,5.0,Fast shipping and item was well packaged.,2025-11-22
REV0332,ORD00683,2.0,Package was late and support was slow to respond.,2026-01-22
REV0333,ORD00491,5.0,"Nice product, good value for the price.",2025-10-11
REV0334,ORD00800,2.0,Package was late and support was slow to respond.,2026-04-20
REV0335,ORD00634,1.0,"Still waiting past the promised date, frustrating experience.",2026-03-22
REV0336,ORD00656,3.0,Item arrived damaged.,2025-11-28
REV0337,ORD00386,4.0,Fast shipping and item was well packaged.,2025-05-18
REV0338,ORD00030,5.0,"Exceeded expectations, will be ordering more.",2026-05-09
REV0339,ORD00956,5.0,"Really happy with this purchase, exactly as described.",2025-07-08
REV0340,ORD00958,5.0,"Nice product, good value for the price.",2025-10-11
REV0341,ORD00667,3.0,"It's okay, does the job.",2026-02-18
REV0342,ORD00889,5.0,"Great quality, arrived as expected, would buy again!",2025-10-03
REV0343,ORD00396,5.0,"Great quality, arrived as expected, would buy again!",2025-10-30
REV0344,ORD00457,2.0,Item arrived damaged.,2026-03-07
REV0345,ORD00213,4.0,"Nice product, good value for the price.",2026-03-03
REV0346,ORD00033,4.0,"Really happy with this purchase, exactly as described.",2025-12-12
REV0347,ORD00895,4.0,Fast shipping and item was well packaged.,2026-02-15
REV0348,ORD00470,5.0,"Nice product, good value for the price.",2026-03-09
REV0349,ORD00161,4.0,Fast shipping and item was well packaged.,2026-04-01
REV0350,ORD00612,4.0,Fast shipping and item was well packaged.,2026-03-30
REV0351,ORD00353,4.0,"Exceeded expectations, will be ordering more.",2026-01-23
REV0352,ORD00824,3.0,"It's okay, does the job.",2025-09-30
REV0353,ORD00980,1.0,"Fine for the price, packaging could be better.",2025-12-28
REV0354,ORD00971,4.0,"Really happy with this purchase, exactly as described.",2026-05-03
REV0355,ORD00384,2.0,"Delivery took way longer than promised, not happy.",2025-07-09
REV0356,ORD00004,3.0,"It's okay, does the job.",2026-03-06
REV0357,ORD00825,4.0,"Nice product, good value for the price.",2026-06-09
REV0358,ORD00134,5.0,"Great quality, arrived as expected, would buy again!",2026-06-27
REV0359,ORD00830,4.0,"Exceeded expectations, will be ordering more.",2026-04-13
REV0360,ORD00361,5.0,Fast shipping and item was well packaged.,2026-05-22
REV0361,ORD00835,3.0,"Fine for the price, packaging could be better.",2026-03-15
REV0362,ORD00930,4.0,"Nice product, good value for the price.",2025-10-22
REV0363,ORD00340,5.0,"Really happy with this purchase, exactly as described.",2026-06-16
REV0364,ORD00233,4.0,"Nice product, good value for the price.",2025-08-25
REV0365,ORD00347,2.0,"Still waiting past the promised date, frustrating experience.",2026-01-07
REV0366,ORD00917,5.0,"Really happy with this purchase, exactly as described.",2026-04-16
REV0367,ORD00479,5.0,"Exceeded expectations, will be ordering more.",2025-11-26
REV0368,ORD00117,4.0,Fast shipping and item was well packaged.,2026-06-02
REV0369,ORD00050,,"Exceeded expectations, will be ordering more.",2026-06-13
REV0370,ORD00303,4.0,"Great quality, arrived as expected, would buy again!",2026-06-14
REV0371,ORD00593,1.0,"Item never arrived on time, very disappointing.",2026-02-26
REV0372,ORD00216,1.0,"Delivery took way longer than promised, not happy.",2026-04-01
REV0373,ORD00778,1.0,Package was late and support was slow to respond.,2026-01-06
